study_hours_per_day,social_media_hours,netflix_hours,sleep_hours,exercise_frequency,exam_score
4.6,0.5,1.6,5.5,2,88.9
3.8,1.4,1.2,6.7,2,70.4
4.9,4.4,2.9,5.6,2,69.4
3.9,2.2,0.2,6.7,3,84.9
2.6,2.2,0.7,7.3,2,63.6
4,2.1,1.4,7.7,1,82.2
1.8,4.8,3.2,5,4,37.4
3.7,4.5,2.2,9.1,3,73.8
3.5,5.2,0.7,7.4,0,53.4
3.2,2.3,1.5,6.5,2,64.2
3.3,2.9,1.1,7.8,6,70.4
0.7,0.7,1,9.3,6,51.5
2.7,4.3,2.9,4.8,4,53.4
3.6,1.1,0.3,6.2,4,77.2
3.7,2.8,3.6,3.6,3,59.8
2,1.2,2.7,6.7,6,55.4
5.4,1.8,3,6.9,0,69.9
2.2,1.5,1.3,6.5,5,71.6
5,1.8,1.6,5.7,6,92.9
4.1,1.9,0.2,4,6,72.4
2.5,1.8,1.2,6.9,1,70.5
6.2,3.5,2.3,8.2,5,100
1.7,1.2,3.2,5.8,4,37.4
4.9,2.8,0.6,7,5,88.7
5,4,1.4,4.6,6,88.6
2.5,1.9,1.6,7,4,68.5
5.6,1.6,0.3,6,5,100
3.1,2.2,2.5,5.6,4,66.9
3.9,3.9,1,5.6,4,71.5
3.9,2.7,1.6,6,3,77.8
3.3,1.9,1.3,7,0,67.7
4.7,3.1,0.9,4.9,4,96.4
4.7,1.2,1.8,6,1,83.1
0.9,3.3,1.6,6.5,6,37.9
5.5,3,1.4,5.2,6,76.3
1,2.1,1,8.7,1,52.6
5,1.5,2.2,5.5,2,83.6
5.2,1.4,3.6,5.7,4,92
1.9,3.1,2,5.3,4,53.2
2.9,4,2.9,8.7,4,56.4
1.8,1.7,0.3,7.2,5,58.1
3.2,3.1,2,5.4,4,70.9
3,0,0.6,7.8,4,98.7
4.7,1.8,0.2,6.7,1,83.3
5.5,2.5,1,6.8,0,80.6
5.6,1.4,3.1,6.1,0,91.3
2.7,1.4,2.8,5.6,2,63.5
3.2,1.7,2.1,6.9,1,66.3
1,2.9,0.1,5.8,4,49.9
2.3,2.3,1.6,8.7,0,68.9
4.9,0,2.1,5,3,94.2
5.9,0,2,8.3,3,100
1.6,1.8,0,6.4,3,58.6
2.6,3,0.8,6.9,4,53.2
3.5,0,1.7,7.5,4,70.5
3.9,1.9,2.4,5.7,2,64
2.3,1.9,0,7.5,6,77.4
4.1,4.2,1.6,3.3,2,57.4
2.8,2,2,5.6,2,59.9
3.5,3,2.7,5.4,5,66.7
4.3,2.7,2.6,5,3,58.4
3.5,0,2.4,6.2,4,63.6
2.8,3.4,0.9,7,3,62.6
3.3,2.8,0,7.3,2,70.6
3.4,3.1,1.4,6.8,4,75.2
2.9,7.2,2.9,5.7,1,50.1
3.1,0,3.3,6.9,0,72.8
5.9,4.6,2.6,6.6,0,72.7
4.3,2.2,2.3,7.6,2,76
3.1,2.8,2.2,7.4,6,74.1
4.5,2.4,1.2,6.5,3,79
3,2,1.7,5.4,1,51.3
5.3,1.8,3.6,5.7,4,71
4.1,2.9,0.8,5.8,6,76.4
3.3,0.7,3.6,6.1,3,52.6
4.2,3.4,1.4,6.8,2,74
1.1,2,3.3,7.4,3,42.6
1.8,1.1,0.3,6.4,2,49.8
1.7,2,2.4,6.5,5,45.7
3.7,4,1,6.7,0,77.2
6.1,1.9,0.2,5.9,6,98.5
6.8,2.9,2,5.4,0,96.2
4.5,1.6,2.9,4.4,3,71.3
4.3,3.4,0.9,5.7,1,59.2
0.8,3.3,0.2,7.1,4,51.8
2.7,4.7,1.7,5.7,2,59.3
2.3,2.3,1.7,6.2,4,58.5
2.6,3.3,2.4,7.1,0,44.5
3.2,2.6,2.8,7.1,1,75.4
2.8,4.1,1.7,5.2,1,54.9
0.5,1.6,3.8,7.7,4,30.2
4.6,3.4,2,7.9,0,71.8
1.9,2.3,1.4,5.1,4,51.8
3.9,2.4,0,5.5,3,59.5
6.6,2.6,1.5,7.9,1,96.6
2.1,2.8,1.4,6.3,1,44.1
0,2.4,2.9,3.8,3,30.5
3.1,2.8,2.3,4.8,0,63.7
5.2,4.4,0.5,6.2,1,74
6.4,3.7,2,5.1,6,98.8
1.7,3.5,2.5,6,5,53
4.2,2,3.5,6.5,5,84.6
2.8,1.4,2.8,8.3,5,73
3.3,3.6,2.6,6.2,2,57.1
7.5,3.6,1.9,7.8,6,100
1.2,4.3,2.2,8.2,2,36.2
3.9,1.8,3.2,8.2,0,65.6
4.2,2.2,0.3,6.8,3,87.5
5.1,0.5,1.4,4.1,4,100
3.6,2,1,7.1,6,85.6
4,3.7,2.2,7.8,0,89.4
2.9,1.9,3.2,6.4,4,66.9
3.9,3.3,1.1,8.6,0,56
3,2.3,0,7.5,2,77.9
4.4,2.9,1.3,7.2,5,91.3
2.9,1.1,2.8,7.8,3,68.4
4.1,2.6,2.4,6.9,2,85.3
3.5,0,2.3,3.5,3,64.4
5.2,2.3,1.5,5.9,6,82.8
3.4,0.5,0.4,7.9,4,78
0.8,3.9,2.4,5.5,0,31.5
5.4,3.4,0.9,6.2,1,92.3
2.1,3.1,4.2,5.2,1,50.1
2.5,4.3,2.4,8.6,3,49.4
2.6,1.4,1.2,8.5,5,80.3
5.6,4.6,1.1,5.4,5,89.7
0.3,3.6,1.7,6.7,3,33.6
8.2,2.2,1.5,5.7,2,100
5.1,3.9,3,7.2,1,90.6
3.8,1.2,2,7.1,2,66.3
3.4,1.5,1,7.5,4,86.1
3.9,1.8,3.9,6.9,1,65.5
4.3,1.9,1.9,10,4,82.9
4.5,1.2,2.6,5.3,0,76.3
4.3,4,1.1,4.4,2,59
3.6,2.2,2.2,6,3,76.1
3.2,2.9,2.1,4.6,1,40.3
3.3,1.8,0,4.7,2,65.2
3.2,0.3,4,5.3,3,43.9
5.2,2.8,3.2,5.4,0,89.5
4.4,0.2,1.4,5.4,1,80.7
0,2.4,0.6,7.1,4,53
4.5,0.9,2.2,5.9,0,70.6
3.8,4.9,1.9,6.3,5,65.5
3.5,3.6,2.2,7.6,3,75.1
2.9,2.6,2,5.6,1,43.5
5.2,4,2.4,6.2,1,80.6
4.9,1.5,3.4,6.9,6,88.2
2.3,3.2,2.4,4.2,6,48.5
4.1,2.7,0.6,3.6,0,67.3
2,2.8,3.3,6.9,1,50.7
1.4,4,3.6,7.1,3,35.4
2.6,3.4,5.3,9,0,49.1
4.8,2.8,0.6,6.7,4,85.4
4.9,0.5,2.1,7.5,0,83.9
4.3,1.3,0,6.3,0,90.4
4.6,2.4,2.4,6.9,4,87.8
4.3,2.6,1.2,8.5,5,87.5
2.5,1.1,3.9,4,6,58.2
4.1,5.4,0.9,7,3,73.2
4.7,4.3,0,9.1,5,83.5
4.6,3.2,1.3,6.8,5,77.6
5.3,2.6,0,8.5,5,98.4
4.6,2.2,2.6,5.7,6,78.5
4,1.4,0,6.5,2,81.1
5.1,2.6,1.8,6.5,6,100
3.5,2.8,0,3.8,5,58.7
2.2,1,1.4,5.1,2,62.6
3.3,2.9,3.6,5.2,4,60.3
2.4,2.3,2.2,7.5,6,63.9
2.5,0.2,0.9,7.5,3,80
3.3,1.5,1.8,6.9,5,62.6
2.3,2,1.8,7.5,1,71.4
3,4.8,2.3,6.3,4,60.6
0.7,3.2,0.3,7.9,2,47.2
3.8,0.9,2.5,6.5,6,78.1
3.5,3.1,0,6.6,3,75.5
2.3,0.6,1.1,6.2,0,73.5
4.5,3.8,1.3,7.3,3,74.6
4.9,1.9,2.5,6,3,98.7
1.1,2.4,1.8,7.7,5,49.2
2.4,4.1,0.3,5.1,5,67.4
2.3,1,0.7,5.2,6,72.5
2.1,0.8,2,7.3,6,68.4
4.7,1.8,1.7,6.4,2,70
3.2,3.7,1.2,6,6,56.1
3.1,0.7,1.3,7.6,2,81.5
0.5,0,2.6,5.8,5,45
4.5,2,1.2,6.3,5,84.4
1.6,3.2,1.7,8.2,1,36.8
3.6,3.9,4.2,8.3,1,65.6
3.9,1.9,0.2,8.4,4,93.5
5.5,2,0,6.2,5,93.7
1.5,3.9,2.7,8,0,42.3
0,0.3,1.1,5.4,1,53.3
3.8,2,1.4,5.4,2,65.9
6.2,2.7,0.9,3.7,3,87.9
5.4,3,1.5,8.5,6,94.5
3.8,1.9,3.6,5.5,6,77.8
2.8,2.5,2.7,6.3,4,74.6
4.7,0,2.7,5.4,1,67.5
2,1.7,0.2,7.3,3,66.5
4.2,3,0.5,6,3,78.4
4.3,1.3,0,4.9,1,84.9
5.1,2.6,0.9,7,0,96.6
7.6,3,2.9,4.8,0,100
4.1,2.1,2.4,5.5,4,83.1
2.7,2.7,1.6,4,0,36.9
3.5,1.3,1.8,4.8,4,60
0.8,2.3,1,6.7,2,44.3
2.5,3.2,2,4.1,1,41.6
2.9,2.7,2.6,4.7,3,45.5
2.7,1.8,0,6.5,4,68.2
3.7,2.8,2.1,5.8,6,75.5
2.3,3.4,2.8,8.9,0,40.9
5.2,0,1.3,8.7,6,100
3.5,3.9,2.6,5.5,4,65.6
3.5,2.1,4.9,7.2,5,75.9
3,3,1.7,7.4,4,69.8
3.7,3.9,2.2,5.8,0,66.6
4.7,0.9,1,4.7,5,84.5
2.2,1.6,2,6.5,5,65.6
2.5,2.2,2.3,6.3,0,46.8
3,1.6,2,6,5,67.7
1.5,4.6,0.7,7,1,45.4
2.3,1.5,2,5.6,3,57
2.8,1.8,3.4,5.1,6,58.4
4.8,2.7,2.3,6.6,1,70.8
3.9,1.1,2.9,7,1,75.7
3.8,2,1.5,5.1,0,55.7
4.8,2.9,2.6,7.6,0,82.1
3.3,2.1,2.1,4.4,6,71.4
4.1,2.4,0.8,5.8,3,66.7
3.3,1.9,2.2,6.2,4,70.9
3.9,0.7,0.7,5.7,1,73
2.6,2.9,1.1,5.8,5,53.9
0,4.6,2,8.7,3,43.4
3.3,2.5,2.1,5.5,1,55.4
5.6,2.8,0.5,9.4,4,100
4.9,3.3,3,7,5,71.8
4.9,1,2.4,6.6,1,89.2
5.4,4.5,1,7.1,2,83.9
3.6,2.7,0.1,9.5,6,89.1
3.8,4.5,1.6,5.3,3,53.5
2.6,1.6,1.3,5.2,6,72.9
3,4.7,1.9,5.6,0,61
4.4,3.4,1.4,6.5,1,69.1
5.3,3.2,0,4.4,5,77.2
3.3,2.8,1.4,6.5,5,71.9
2.8,2.2,1.5,8.5,3,74.7
3.5,3.9,2.5,6.7,3,74.5
4.4,2.7,1,6.1,6,85.4
1.3,0.1,3.6,5.8,5,44.3
0.1,1.2,0,7.6,5,53.4
2.7,2.3,3.2,5.5,5,57.4
1.7,2.9,1.6,8.7,1,53.6
2.7,2.4,2.7,8.8,5,58.8
3.3,4,1.9,6.8,0,43.5
2.8,0.2,3.1,6.5,5,65.6
5.7,2.7,1.4,7.7,0,89.8
4,0.3,0.6,7.8,1,89.5
4,3.4,3.4,5.5,3,68.8
4.4,2.4,1.7,5.9,0,76.8
1.8,3,2,4.9,1,47.5
5.1,1.5,3.2,7,5,89.3
3.4,4,0.7,7.3,1,62
4.5,3.8,2.5,4.9,5,66.1
1.9,3.2,1.2,6,6,41.7
1.2,2.3,1.7,4.9,1,28
4.7,3.2,1.9,5.4,3,71
4.1,1.7,0.1,7.2,0,67.5
2.1,3.5,0.9,5.6,6,63.4
2.2,4.5,3.3,6.1,3,50.2
5.2,3.8,2.8,4.5,2,72
1.7,1.6,1.7,6.7,5,67.9
6,2.9,2.1,6.4,0,100
2.1,0.9,1.5,5.6,3,55
4.5,3.2,3.3,6.3,0,59.9
3,3,1.6,6.7,2,63.2
4.4,0.3,2.1,5.5,4,84.5
2.7,1.1,3.1,4.7,5,50.8
3.3,2.2,0.9,8.7,5,94
3.6,2.1,3.5,5.7,1,65.6
2,1,0.1,6.4,5,61.7
4.6,3,3.6,7.7,5,66
2.7,2.8,1.4,10,3,86.9
3.2,2.3,1.5,5,6,59.6
2,1.6,0,7,5,49.1
0,3.8,1.3,5.7,5,31.1
3.2,4.5,0.7,5.9,2,45.7
7.1,1.9,1.1,5.6,6,100
4.7,1.8,1.6,5.1,2,81.1
3.5,3.1,2.9,6.5,0,55.1
3.1,2.1,2,4.7,0,53.3
3.5,2.3,2.1,7.6,5,89.1
4.3,3.4,0.6,6.6,5,77.3
1.7,0.2,0.8,7,1,56.4
5.2,4.1,3.8,5.9,0,76.1
4.6,2.6,1,6.1,3,74.6
4.6,2,3.6,6.8,5,83
4.2,2.4,1.5,5.1,3,85.9
3.5,2.5,1.8,6.1,5,64.5
4.5,0.4,3,5.5,3,91.9
4.4,4.3,3.2,5.4,4,74.6
3,2.5,1.7,4,3,70.9
2.6,3,1.4,8.1,6,66.7
3.7,3.6,1.7,5.7,0,77.4
5.8,1.3,2.2,7.9,5,99
1.6,3.1,2.8,7.8,0,43.5
1.3,2.2,1.8,5,6,53.4
3.7,3.5,2.5,5.2,6,81
3.6,0,3.6,9.6,3,66.2
3.8,2.4,2.2,8.6,2,88
3.9,1.8,2.1,6.5,2,64.4
3.2,3,0.1,6.8,6,82.4
5.7,3.1,0,5.7,2,80.9
1.1,1.7,2.2,7,5,59.6
2.3,1.6,1.7,5.6,1,56.2
3.3,2.4,1.2,4.1,4,72.5
1,1.4,2.1,4.9,3,47.6
3.2,3.5,1.7,6.5,1,63.6
6,2.1,3,5.1,2,85.3
3.5,0,1.9,6.4,3,71.8
3.8,2.1,1,5.2,1,70.9
1.6,1.3,2.9,5.6,0,41.7
2.6,0.5,1.6,7.5,2,76.1
2.9,1,2.4,6.8,1,65.9
3,2.6,1.3,6.5,5,64.4
5.4,4.1,1.1,7.6,0,69.7
4.3,2.9,1.9,7.1,2,74.9
